,Company,Symbol,Industry,Identifier,Indices,Currency,Trading,urls,description
443,Ravenquest BioMed Inc.,RQB,Life Sciences,Cannabis,,CAD,04-Oct-17,https://thecse.com/en/listings/life-sciences/ravenquest-biomed-inc,"RavenQuest BioMed Inc. is a diversified publicly traded cannabis company with divisions focused upon cannabis production, management services & consulting and specialized research & development.  RavenQuest is a licensed producer with facilities located in Markham, Ontario and Edmonton, Alberta."
444,Razore Rock Resources Inc.,RZR,Mining,,,CAD,17-Sep-15,https://thecse.com/en/listings/mining/razore-rock-resources-inc,"
	Razore Rock Resources Inc. is a mineral exploration company focused on the acquisition, exploration and development of mineral resources."
445,Red Lake Gold Inc.,RGLD,Mining,,CSE Composite,CAD,09-May-18,https://thecse.com/en/listings/mining/red-lake-gold-inc,"Red Lake Gold Inc. (CSE:RGLD) is focused on high-impact gold exploration through our 12,300 ha district-scale Whirlwind Jack Gold Project situated near Red Lake, Ontario and adjacent to the Dixie Gold Project being advanced by Great Bear Resources Ltd."
446,Red Light Holland Corp.,TRIP,Life Sciences,,CSE Composite,CAD,28-May-20,https://thecse.com/en/listings/life-sciences/red-light-holland-corp,"Red Light Holland’s business revolves around the production, growth and sale (through existing Smart Shops operators and an advanced e-commerce platform) of a premium brand of magic truffles to the legal, recreational market within the Netherlands, in accordance with the highest standards, in compliance with all applicable laws."
447,Red White & Bloom Brands Inc.,RWB,Life Sciences,US Cannabis,CSE25,CAD,05-Jun-20,https://thecse.com/en/listings/life-sciences/red-white-&-bloom-brands-inc,
448,Redfund Capital Corp.,LOAN,Diversified Industries,Cannabis,,CAD,14-Aug-18,https://thecse.com/en/listings/diversified-industries/redfund-capital-corp,<strong>Redfund Capital Corp</strong>
449,Relay Medical Corp.,RELA,Life Sciences,,CSE Composite,CAD,01-Sep-15,https://thecse.com/en/listings/life-sciences/relay-medical-corp,"Relay Medical is evolving an integrated Medtech incubator/accelerator platform, which develops and productizes multiple products and projects concurrently and vets strategic acquisitions, that are complimentary to current infrastructure assets and investment thesis."
450,Reliant Gold Corp.,RNG,Mining,,,CAD,28-Feb-18,https://thecse.com/en/listings/mining/reliant-gold-corp,"
	The Company is a junior mineral exploration company engaged in the acquisition, exploration and development of mineral resource properties in North America. The Company is an exploration and evaluation stage company currently focused on the exploration of mineral properties in Ontario, Canada."
451,Renforth Resources Inc.,RFR,Mining,,CSE Composite,CAD,20-Oct-15,https://thecse.com/en/listings/mining/renforth-resources-inc,"
	Renforth Resources Inc. is an active exploration company with gold resources on the Cadillac Break in Quebec, currently drilling the Parbec Property, contiguous to Canadian Malartic, to continue to define the total amount of gold present."
452,Reservoir Capital Corp.,REO,Diversified Industries,,CSE Composite,CAD,28-Sep-18,https://thecse.com/en/listings/diversified-industries/reservoir-capital-corp,"Reservoir Capital Corp. (“Reservoir”) is a clean power investment vehicle concentrating on operational projects located in growing economies. Reservoir's portfolio currently comprises 4 hydro power plants netting 46.3MW operating capacity via minority economic interests in Mainstream Energy Solutions Limited and North South Power Ltd, respectively the #1 and #2 clean power producers in Africa (and Nigeria). In addition to growth, Reservoir offers investors portfolio diversification, USD dividend streams, long term PPA protection and excellent operator-ship. Reservoir’s acquisition strategy is to approach owners of privately-held quality clean energy assets and offer their investors a way to surface value via share swap into our growing balanced portfolio of assets following a disciplined investment policy. "
453,Revive Therapeutics Ltd.,RVV,Life Sciences,Cannabis,CSE Composite,CAD,23-Jul-19,https://thecse.com/en/listings/life-sciences/revive-therapeutics-ltd,"Revive Therapeutics Ltd. is a life sciences company focused on the research and development of therapeutics for infectious diseases and rare disorders, and it is prioritizing drug development efforts to take advantage of several regulatory incentives awarded by the FDA such as Orphan Drug, Fast Track, Breakthrough Therapy and Rare Pediatric Disease designations.  Currently, the Company is exploring the use of Bucillamine for the potential treatment of infectious diseases, with an initial focus on severe influenza strains including COVID-19.  With its recent acquisition of Psilocin Pharma Corp., Revive is advancing the development of Psilocybin-based therapeutics in various diseases and disorders. Revive’s cannabinoid pharmaceutical portfolio focuses on rare inflammatory diseases and the Company was granted FDA orphan drug status designation for the use of Cannabidiol (CBD) to treat autoimmune hepatitis (liver disease) and to treat ischemia and reperfusion injury from organ transplantation.  For more information visit "
454,Rift Valley Resources Corp.,RVR,Mining,,,CAD,08-Sep-15,https://thecse.com/en/listings/mining/rift-valley-resources-corp,
455,Rise Gold Corp.,RISE,Mining,,CSE Composite,CAD,01-Feb-16,https://thecse.com/en/listings/mining/rise-gold-corp,"Rise Gold Corp. is an exploration stage mining company.  The Company's principal asset is the historic past producing Idaho-Maryland Gold Mine located in California, USA.  The Idaho-Maryland Gold Mine is one of the greatest past producing gold mines in the United States with total past production of 2,414,000 ounces of gold from 1866-1955.  Rise is a US corporation incorporated in Nevada USA and maintains its head office in Vancouver, British Columbia, Canada."
456,RISE Life Science Corp.,RLSC,Life Sciences,US Cannabis,,CAD,01-Dec-17,https://thecse.com/en/listings/life-sciences/rise-life-science-corp,RISE Life Science Corp.  is currently developing and evolving medical and adult-use hemp-based formulations to create general use health and well-being products for the emerging consumer category made possible by the legalization of hemp in the United States pursuant to the Agricultural Improvement Act of 2018.  The Company launched its CBD-based sexual wellness products in June 2018.  The acquisition of Life Bloom Organics in July 2018 expanded RISE’s portfolio of CBD products from sexual health and wellness products to include general wellness and sleep products and provides access to Life Bloom’s existing channels of distribution and production in the United States and California in particular.  RISE also leverages Life Bloom’s proprietary process of nanotizing CBD for increased bioavailability (without psychoactivity) in future products created under the RISE brand umbrella.
457,RMMI Corp.,RMMI,Life Sciences,Cannabis,,CAD,25-Sep-18,https://thecse.com/en/listings/life-sciences/rmmi-corp,"RMMI is an Alberta based company whose wholly owned subsidiary, Rocky Mountain Marijuana Inc., is licensed under the "
458,Rockcliff Metals Corporation,RCLF,Mining,,CSE Composite,CAD,07-May-19,https://thecse.com/en/listings/mining/rockcliff-metals-corporation,"Rockcliff is a Canadian resource exploration company focused on base metals, gold and royalties in the Snow Lake area of Manitoba, Canada. Rockcliff is the largest junior landholder in the Flin Flon-Snow Lake greenstone belt which is home to the largest Paleoproterozoic VMS district (copper, gold, zinc, silver) in the world and also contains gold mines and deposits. Its extensive portfolio of properties totals over 4,000 square kilometres. It includes 9 of the highest-grade undeveloped VMS deposits and 5 lode-gold properties including the historic Rex-Laguna gold mine, Manitoba’s first and highest-grade gold mine."
459,Rockex Mining Corporation,RXM,Mining,,,CAD,14-Sep-15,https://thecse.com/en/listings/mining/rockex-mining-corporation,"
	Rockex is a Canadian exploration company focused on developing high quality iron ore assets strategically located in areas largely under explored, and that host significant mineral potential. Its core asset is the Lake St. Joseph Project which includes the Eagle Island Deposit, as well as additional potential deposits at Wolf Island and Fish Island. Rockex's vision is to position the Lake St. Joseph project to become the first producer of Hot Briquetted Iron (HBI) in Canada."
460,Rockshield Capital Corp.,RKS,Diversified Industries,Cannabis,,CAD,01-Sep-15,https://thecse.com/en/listings/diversified-industries/rockshield-capital-corp,"
	Rockshield Capital is a diversified investment firm focused on, but not limited to, investing in early stage, high growth companies offering capital appreciation potential. Such investee companies may be private or public companies and there will be no bias to sector based on economic, financial and market conditions. The Company expects its investments will include companies at all stages of development."
461,Rubicon Organics Inc.,ROMJ,Life Sciences,Cannabis,CSE25,CAD,10-Oct-18,https://thecse.com/en/listings/life-sciences/rubicon-organics-inc,"Rubicon Organics Inc. (the “Company”) is a Canadian licensed producer focused on producing super-premium, certified organic cannabis from its flagship 125,000 sq. ft. hybrid greenhouse in Delta, British Columbia, Canada. "
462,Rubicon Organics Inc. Wts.,ROMJ.WT,Life Sciences,Cannabis,,CAD,23-Aug-19,https://thecse.com/en/listings/life-sciences/rubicon-organics-inc-wts,
463,SBD Capital Corp.,SBD,Diversified Industries,,,CAD,02-Feb-18,https://thecse.com/en/listings/diversified-industries/sbd-capital-corp,"
	SBD Capital Corp. acquires controlling interests in industrial companies in the manufacturing and distribution business. The initial acquisition is Secret Barrel Distillery Corporation which is a craft rum producer and distributor in Alberta, Canada. SBD Capital Corp. provides the capital to grow and expand the business, and also provides management expertise. SBD Capital Corp. continues to look for other acquisitions which may be in the similar industry as Secret Barrel Distillery Corporation or in an unrelated industry."
464,Scotch Creek Ventures Inc.,SCV,Mining,,,CAD,02-Jan-19,https://thecse.com/en/listings/mining/scotch-creek-ventures-inc,"Scotch Creek Ventures Inc. is a Vancouver based mineral exploration company focused on gold development in North America. The company is currently exploring the Cupz Property in the Esmerelda County, Nevada."
465,Seahawk Ventures Inc.,SHV,Mining,,CSE Composite,CAD,05-May-16,https://thecse.com/en/listings/mining/seahawk-ventures-inc,"Seahawk Ventures Inc. is a venture company looking to acquire a portfolio of mining assets. The Company currently owns four properties in the Urban-Barry Gold Camp, Abitibi Greenstone Belt region of Quebec, Canada."
466,Sensor Technologies Corp (formerly was SENS/Sensor Technologies Inc. until 2020-01-27),SENS,Technology,,,CAD,24-Oct-18,https://thecse.com/en/listings/technology/sensor-technologies-corp-(formerly-was-sens/sensor-technologies-inc-until-2020-01-27),
467,Sentinel Resources Corp.,SNL,Mining,,,CAD,02-Mar-20,https://thecse.com/en/listings/mining/sentinel-resources-corp,Sentinel Resources is in the business of the exploration of gold deposits on its three mineral properties located in the Nelson Mining Division in the Province of British Columbia.
468,Sharc International Systems Inc.,SHRC,CleanTech,,CSE Composite,CAD,28-Oct-15,https://thecse.com/en/listings/cleantech/sharc-international-systems-inc,<strong>About SHARC International Systems Inc.</strong>
469,Shoal Point Energy Ltd.,SHP,Oil and Gas,,CSE Composite,CAD,09-Sep-15,https://thecse.com/en/listings/oil-and-gas/shoal-point-energy-ltd,"
	Shoal Point Energy Ltd is a public company with a 100% interest in the shallow rights in Exploration License EL#1070 in the Province of Newfoundland comprising approximately 150,000 acres of oil-in-shale in Port au Port Bay and which can be developed almost entirely from land. In addition, Shoal Point has an agreement to earn a net 80% interest in the 67,298 acres of Green Point Shale (shallow rights) of EL #1120 which is owned by Ptarmigan Energy Inc. The total potential gross acreage in the Green Point Shale is approximately 220,000 acres."
470,Sierra Growth Corp.,SGRO,Mining,,,CAD,16-Oct-18,https://thecse.com/en/listings/mining/sierra-growth-corp,
471,Silver Dollar Resources Inc.,SLV,Mining,,,CAD,29-May-20,https://thecse.com/en/listings/mining/silver-dollar-resources-inc,"The Issuer is engaged in the business of mineral exploration and the acquisition of mineral property assets in Canada.  Its objective is to locate and develop economic precious and base metal properties of merit and to conduct its exploration program on the Longlegged Lake Property, located in the Red Lake Mining Division in north-western Ontario, approximately 30 kilometres south of the community of Red Lake.  Silver Dollar also has an interest in the Pakwash Lake Property, located approximately 30 kilometres southeast of the community of Red Lake, Ontario."
472,Silver Phoenix Resources Inc.,SP,Mining,,CSE Composite,CAD,23-Oct-15,https://thecse.com/en/listings/mining/silver-phoenix-resources-inc,Silver Phoenix Resources Inc. is a Project Generator. The company's goals are to acquire properties of merit in safe jurisdictions that can be improved on and to secure partners with the expertise to develop them to production. Their objective is to retain an interest that could be sold for cash and retain a royalty - resulting in minimized share dilution for shareholders.
473,Silver Sands Resources Corp. (formerly was GOOP/Golden Opportunity Resources Corp. until 2020-06-05),SAND,Mining,,CSE Composite,CAD,27-Nov-19,https://thecse.com/en/listings/mining/silver-sands-resources-corp-(formerly-was-goop/golden-opportunity-resources-corp-until-2020-06-05),
474,Sire Bioscience Inc.,SIRE,Life Sciences,Cannabis,CSE Composite,CAD,11-Sep-19,https://thecse.com/en/listings/life-sciences/sire-bioscience-inc,"Sire Bioscience Inc. is a life sciences company focused on the cultivation, production and sale of industrial hemp."
475,Sitka Gold Corp.,SIG,Mining,,CSE Composite,CAD,31-Jan-18,https://thecse.com/en/listings/mining/sitka-gold-corp,"Sitka Gold Corp. is a mineral exploration company headquartered in Canada and managed by a team of experienced mining industry professionals. The Company is focused on exploring for economically viable mineral deposits with its primary emphasis on gold and copper mineral properties of merit. Sitka currently has an option to acquire a 100% interest in the RC Gold Gold property in Yukon, an option to earn a 100% interest in the Burro Creek Property in Arizona and owns a 100% interest in its Coppermine River project in Nunavut and the Alpha Gold property in Nevada."
476,Sixth Wave Innovations Inc.,SIXW,Diversified Industries,,CSE Composite,CAD,11-Feb-20,https://thecse.com/en/listings/diversified-industries/sixth-wave-innovations-inc,"Sixth Wave Innovations Inc. is a nanotechnology company focused on extraction and detection of target substances at the molecular level.  The company's products provide significant advantages in cost and performance. These advantages are derived from application of the company's patented technologies in the highly specialized field of molecularly imprinted polymers (MIPs). Sixth Wave is commercializing IXOS®, a line of extraction polymers for the gold mining industry and Affinity™ for the Cannabis Industry."
477,Sixty North Gold Mining Inc.,SXTY,Mining,,,CAD,19-Apr-18,https://thecse.com/en/listings/mining/sixty-north-gold-mining-inc,
478,Skarb Exploration Corp.,SKRB,Mining,,,CAD,15-Feb-19,https://thecse.com/en/listings/mining/skarb-exploration-corp,"
	Skarb Exploration Corp. is engaged in the business of mineral exploration in Canada with an objective to locate and develop economic mineral properties. Skarb Exploration Corp. holds the sole and exclusive right and option to acquire a 100% right, title, and interest in and to the RDR Gold Project located in Quebec, consisting of 16 mining claims."
479,Skyledger Tech Corp.,SKYL,Technology,Blockchain,CSE Composite,CAD,29-Apr-19,https://thecse.com/en/listings/technology/skyledger-tech-corp,"
	Skyledger Tech Corp. is a bitcoin mining company that gives shareholders access to the potential price appreciation of bitcoin.  The Company currently operates ASIC Rigs, which are used to obtain rewards for confirming transactions on the bitcoin blockchain, at its facility in Gibsons, British Columbia."
480,SLANG Worldwide Inc.,SLNG,Life Sciences,US Cannabis,CSE Composite,CAD,29-Jan-19,https://thecse.com/en/listings/life-sciences/slang-worldwide-inc,"SLANG Worldwide is a leading cannabis-focused consumer packaged goods company. SLANG Worldwide is focused on acquiring and developing market-proven regional brands, as well as creating new brands to meet the needs of cannabis consumers worldwide."
481,Slave Lake Zinc Corp,SLZ,Mining,,,CAD,07-Nov-18,https://thecse.com/en/listings/mining/slave-lake-zinc-corp,"Slave Lake Zinc Corp. intends to develop the potential of its O'Connor Lake property, an historic zinc lead copper property located in the North West Territories of Canada.  The property is located south of Great Slave Lake and to the east of Osisko Metals' Pine Point project.  The property was initially developed after the Second World War and subsequently abandoned in 1952 when the prices of zinc and lead collapsed post war.  Slave Lake Zinc Corp. believes that it is well positioned to advance this project and to expand significantly the historic potential of the property."
482,SLE Synergy Ltd.,SLE,Diversified Industries,,,CAD,08-Jun-20,https://thecse.com/en/listings/diversified-industries/sle-synergy-ltd,"SLE Synergy’s primary business is providing one-stop turnkey engineering, procurement, and construction management solutions that range from consultancy and design, to the construction of projects involving high technology production facilities, primarily in Singapore and mainland China. SLE Synergy also has a growing waste management services division which converts waste into organic compost and that primarily operates in Shanghai, China."
483,Softlab9 Technologies Inc. (formerly was SOFT/Softlab9 Software Solutions Inc until 2020-07-17),SOFT,Technology,,,CAD,02-Nov-18,https://thecse.com/en/listings/technology/softlab9-technologies-inc-(formerly-was-soft/softlab9-software-solutions-inc-until-2020-07-17),
484,SOL Global Investments Corp.,SOL,Life Sciences,US Cannabis,CSE Composite,CAD,15-Aug-18,https://thecse.com/en/listings/life-sciences/sol-global-investments-corp,"SOL Global is an international investment company with a focus on, but not limited to, cannabis and cannabis related companies in legal U.S. states, the hemp and CBD marketplaces and the emerging European cannabis and hemp marketplaces. Its strategic investments and partnerships across cultivation, distribution and retail complement the company’s R&D program with the University of Miami. It is this comprehensive approach that is positioning SOL Global as a future front runner in the United States’ medical cannabis industry."
485,Sona Nanotech Inc.,SONA,Technology,,CSE Composite,CAD,04-Oct-18,https://thecse.com/en/listings/technology/sona-nanotech-inc,"
	Sona is a nano technology life sciences firm that has developed two proprietary methods for the manufacture of rod shaped gold nanoparticles for use in multiplex diagonostic testing platforms that will improve performance over existing tests in the market."
486,Spacefy Inc.,SPFY,Technology,,,CAD,29-Nov-18,https://thecse.com/en/listings/technology/spacefy-inc,"
	Spacefy is an online marketplace that connects people in creative industries, such as photographers, filmmakers, musicians, artists, ad agencies, and event planners, with locations to execute their projects. Spacefy's platform allows property owners and managers of venues to list their locations with detailed descriptions, photographs, and amenities. The platform facilitates the negotiation and booking of short-term rentals where a commission and fee is charged by Spacefy to both the renter and the space owner."
487,SpeakEasy Cannabis Club Ltd.,EASY,Life Sciences,Cannabis,CSE Composite,CAD,04-Apr-18,https://thecse.com/en/listings/life-sciences/speakeasy-cannabis-club-ltd,"SpeakEasy Cannabis Club Ltd. holds a cultivation, processing and sales licence issued by Health Canada under the Cannabis Act. "
488,Spearmint Resources Inc.,SPMT,Mining,,CSE Composite,CAD,01-Oct-18,https://thecse.com/en/listings/mining/spearmint-resources-inc,"
	Spearmint Resources Inc. is a mineral exploration company whose principal business activities include acquiring, exploring and evaluating mineral properties. Spearmint currently has exploration and evaluation assets located in both Canada and the United States of America."
489,Spey Resources Corp.,SPEY,Mining,,,CAD,24-Aug-18,https://thecse.com/en/listings/mining/spey-resources-corp,"Spey Resources Corp. (“Spey”) is a junior mineral exploration company. Spey is engaged in the business of acquiring, exploring and evaluating natural resource properties."
490,SponsorsOne Inc.,SPO,Technology,,CSE Composite,CAD,02-Sep-15,https://thecse.com/en/listings/technology/sponsorsone-inc, 
491,Sproutly Canada Inc.,SPR,Life Sciences,Cannabis,CSE Composite,CAD,09-Jul-18,https://thecse.com/en/listings/life-sciences/sproutly-canada-inc,"Sproutly’s core mission is to become the leading supplier to the cannabis beverage and edibles market. Our Toronto based, ACMPR licensed facility was built to cultivate pharmaceutical grade cannabis to supply a technological breakthrough in producing and formulating the first natural, truly water-soluble cannabis solution. Our water-soluble ingredients and our bio-natural oils will deliver revolutionary brands to international markets that are clamouring for well-defined commercial products. Sproutly’s business focus is to execute on partnerships with local and globally established consumer brands to leverage their existing customer bases, further expand brand loyalty, assist with marketing, and support distribution networks to deliver this scientific breakthrough with speed and efficiency worldwide."
492,SQID Technologies Limited,SQID,Technology,,,CAD,21-Jan-20,https://thecse.com/en/listings/technology/sqid-technologies-limited,SQID is a payment processor headquartered in Australia with proprietary software for online debit or credit card payments. It provides merchant services and transaction processing to business merchants and ecommerce customers across both ‘Business to Business’ (B2B) and ‘Business to Consumer’ (B2C) segments to bridge both retail and wholesale transactions through its platform.”
493,Squatex Energy and Ressources Inc.,SQX,Oil and Gas,,,CAD,03-Apr-17,https://thecse.com/en/listings/oil-and-gas/squatex-energy-and-ressources-inc,"
	Squatex Energy and Ressources Inc. is a junior oil and gas exploration company established in 2001 which main activity is to carry out works and studies aiming at the evaluation and the development of the oil and gas potential of a territory of 656,093 hectares under exploration license in the Province of Québec, in which it is holding a 70% interest. "
494,St-Georges Eco-Mining Corp.,SX,Mining,Blockchain,CSE Composite,CAD,11-Sep-15,https://thecse.com/en/listings/mining/st-georges-eco-mining-corp,"St-Georges controls directly or indirectly, via right of first refusal, all of the mineral tenures currently active in Iceland."
495,Star Navigation Systems Group Ltd.,SNA,Technology,,,CAD,07-Apr-17,https://thecse.com/en/listings/technology/star-navigation-systems-group-ltd,
496,Starrex International Ltd.,STX,Diversified Industries,,CSE Composite,CAD,18-Sep-15,https://thecse.com/en/listings/diversified-industries/starrex-international-ltd,"
	Starrex, provides innovative service solutions to mortgage banks and purchasers of residential real estate throughout the United States. "
497,Stem Holdings Inc.,STEM,Life Sciences,US Cannabis,CSE Composite,CAD,16-Jul-18,https://thecse.com/en/listings/life-sciences/stem-holdings-inc,"
	As a vertically integrated cannabis company, Stem has positioned itself as a pioneer in the industry with its state-of-the-art cultivation, processing, extraction, retail, and distribution operations. Stem owns cannabis facilities in Nevada, Oklahoma, and Oregon, and also participates in a research project in collaboration with Cornell University. Utilizing proprietary, sustainable cultivation techniques, Stem develops exceptional products that are safe and consist of lab-tested cannabis and CBD. Stem’s partner consumer brands are award-winning and nationally known, and include: cultivators, TJ's Gardens and Yerba Buena; retail brands, Stem and TJ's; infused product manufacturers, Cannavore and Supernatural Honey; and a CBD company, Dose-ology. Stem’s mission in supporting the health and happiness of people and the safety of our planet is evident through the Company's continued recognition for its community involvement, employee diversification and a top place to work in cannabis, dedication to environmental causes and outstanding leadership in the cannabis industry.."
498,Stevens Gold Nevada Inc.,SG,Mining,,,CAD,21-Feb-20,https://thecse.com/en/listings/mining/stevens-gold-nevada-inc,Stevens Gold Nevada Inc. is a mineral exploration company.  Its primary business objective is to explore its optioned claims in Nevada with a view to acquiring ownership interest in the Black Point property.
499,StillCanna Inc.,STIL,Life Sciences,Cannabis,CSE Composite,CAD,15-Mar-19,https://thecse.com/en/listings/life-sciences/stillcanna-inc,
500,Straightup Resources Inc.,ST,Mining,,,CAD,12-Mar-20,https://thecse.com/en/listings/mining/straightup-resources-inc,"The Issuer is engaged in the business of acquiring and exploring mineral resource properties.  Its objective is to locate and develop economic precious and base metal properties of merit and to conduct its exploration program on the Hi-Mars Property, located approximately 17 kilometres northeast of the city of Powell River in southwest British Columbia, Canada, within the Vancouver Mining Division."
501,Summa Silver Corp. (formerly was PGG/Pinnacle North Gold Corp. until 2020-04-30),SSVR,Mining,,CSE Composite,CAD,12-Feb-20,https://thecse.com/en/listings/mining/summa-silver-corp-(formerly-was-pgg/pinnacle-north-gold-corp-until-2020-04-30),
502,Sunniva Inc.,SNN,Life Sciences,US Cannabis,,CAD,10-Jan-18,https://thecse.com/en/listings/life-sciences/sunniva-inc,"
	Sunniva Inc., through its subsidiaries, is a vertically integrated cannabis company operating in the two largest markets – California and Canada. Sunniva is committed to becoming one of the lowest cost producers delivering safe, high-quality products and services at scale free of pesticides and/or other contaminants."
503,Supreme Metals Corp.,ABJ,Mining,,,CAD,05-Aug-16,https://thecse.com/en/listings/mining/supreme-metals-corp,
504,Sweet Earth Holdings Corporation,SE,Life Sciences,US Cannabis,CSE Composite,CAD,26-May-20,https://thecse.com/en/listings/life-sciences/sweet-earth-holdings-corporation,"Sweet Earth Holdings is a vertically integrated and award-winning company focused on hemp production and CBD related products.  A member of the American National Hemp Association and Leaping Bunny accredited, the Company maintains a complete “farm to shelf” platform.  The Company’s American and European farms focus on pure organic hemp growing while production specializes on high-end CBD products that can be purchased on its website (www.sweetearthcbd.com) and distributors in the United States."
505,Taal Distributed Information Technologies Inc. (formerly was SQR/Squire Mining Ltd. until 2019-12-13),TAAL,Technology,Blockchain,CSE Composite,CAD,21-Sep-15,https://thecse.com/en/listings/technology/taal-distributed-information-technologies-inc-(formerly-was-sqr/squire-mining-ltd-until-2019-12-13),
506,TAAT Lifestyle & Wellness Ltd.,TAAT,Life Sciences,Cannabis,,CAD,22-Jun-20,https://thecse.com/en/listings/life-sciences/taat-lifestyle-&-wellness-ltd,
507,Taiga Gold Corp,TGC,Mining,,CSE Composite,CAD,30-Apr-18,https://thecse.com/en/listings/mining/taiga-gold-corp,"
	Taiga Gold Corp is a junior exploration company focussed on the search for economic gold mineralization in Northern Saskatchewan. The company’s projects are located near the Seabee Gold Operation, with its’ flagship Fisher Project currently under option to SSR Mining Inc., operators of the Seabea and Santoy mines. Taiga continues to aggressively explore its additional properties in the area and conducts active research to identify new acquisitions. Taiga was formed through a plan of arrangement with parent company Eagle Plains Resources Ltd. in April, 2018."
508,Taku Gold Corp.,TAK,Mining,,,CAD,02-Sep-15,https://thecse.com/en/listings/mining/taku-gold-corp,"A gold exploration and resource company, Taku Gold Corporation is leading the way in Northern Canada's Yukon region. Today, the company is one of the largest stakeholders in the White Gold District, which has recently been the site of numerous major gold finds, and is rapidly emerging as the heart of the new Yukon Gold Rush."
509,Talisker Resources Ltd.,TSK,Mining,,CSE Composite,CAD,26-Apr-19,https://thecse.com/en/listings/mining/talisker-resources-ltd,"Talisker Resources Ltd. is a junior resource company involved in the exploration of gold projects in British Columbia, Canada. Talisker’s projects include the Bralorne Gold Complex, an advanced stage project with significant exploration potential from a historical high-grade producing gold mine as well as its Spences Bridge Project where the Company holds ~85% of the emerging Spences Bridge Gold Belt and several other early stage Greenfields projects. Talisker is a dominant exploration player in the south-central British Columbia. The Company is well funded to advance its aggressive systematic exploration program at its projects."
510,Talmora Diamond Inc.,TAI,Mining,,,CAD,24-Sep-15,https://thecse.com/en/listings/mining/talmora-diamond-inc,"Talmora Diamond Inc. is a junior exploration company with a property consisting of  five  prospecting permits (142,118.28 hectares) and 30 mineral claims (2,570.88 hectares) in the Horton River area south of Paulatuk in the Northwest Territories."
511,Tantalex Resources Corporation,TTX,Mining,,,CAD,10-Nov-15,https://thecse.com/en/listings/mining/tantalex-resources-corporation,"
	TANTALEX is a mining company engaged in the acquisition, exploration, development and distribution of Lithium, Tantalum and other high-tech mineral properties in Africa. The Company is listed on the Canadian Stock Exchange (symbol: TTX) and the Frankfurt Stock Exchange (symbol: 1T0). "
512,Tarachi Gold Corp. (formerly was KAL/Kal Minerals Corp until 2020-04-07),TRG,Mining,,CSE Composite,CAD,25-Oct-18,https://thecse.com/en/listings/mining/tarachi-gold-corp-(formerly-was-kal/kal-minerals-corp-until-2020-04-07),
513,Target Capital Inc.,TCI,Diversified Industries,,,CAD,21-Nov-16,https://thecse.com/en/listings/diversified-industries/target-capital-inc,"Target is investment company that manages a portfolio that includes listed public companies, real estate and trailer fees. Additionally, the company makes strategic investments in private companies in order to facilitate RRSP and TFSA eligibility of the private companies’ debt instruments."
514,Tartisan Nickel Corp.,TN,Mining,,CSE Composite,CAD,01-Sep-15,https://thecse.com/en/listings/mining/tartisan-nickel-corp,"Tartisan Nickel Corp. is a Canadian mineral exploration and development company whose assets include the Kenbridge Nickel-Copper-Cobalt Deposit located near Kenora, Ontario, Canada. The Kenbridge Deposit hosts a historical measured and indicated resource estimate of 7.139 million tonnes of 0.62% nickel, 0.33% copper, and 0.016% cobalt; and inferred resources of 118,000 tonnes of 1.38% nickel, 0.88% copper, and 0.003% cobalt. In total, a contained nickel resource of 97.8 million pounds and 47 million pounds of copper. (Sedar: Canadian Arrow Mines Limited 2008, 2010). Canadian Arrow Mines Limited is a wholly owned subsidiary of Tartisan Nickel Corp. The Kenbridge Deposit is equipped with a 623m shaft and has never been mined. Mineralization is open at depth and along strike. Tartisan Nickel has engaged MineMap Pty. Ltd. of Midland, Western Australia, as consulting engineer for the project to provide an updated block model and assist in updating the Kenbridge NI 43-101 Technical Report. Tartisan recently sold (10/18) the Alexo-Kelex Nickel project to VaniCom Resources Limited.
In Peru, Tartisan owns a 100% stake in the Don Pancho Zinc-Lead-Silver Project,9km from Trevali’s Santander mine and owns a 100% stake in the Ichuna Copper-Silver Project, contiguous to Buenaventura’s San Gabriel property. Tartisan also owns an equity stake (6 million shares and 3 million warrants at 40 cents) in Eloro Resources Ltd, which is exploring the low-sulphidation epithermal La Victoria Gold/Silver Project in Ancash, Peru. "
515,Temas Resources Corp.,TMAS,Mining,,,CAD,19-May-20,https://thecse.com/en/listings/mining/temas-resources-corp,"Temas Resources Corp. is a mineral exploration company focused on the acquisition, exploration and development of large Iron, Titanium and Vanadium properties in Canada.   The Company has an option to acquire a 100% interest in the DAB Property which consists of 128 contiguous mineral claims which cover 6813.72 hectares (68.14 km2) within the Grenville Geological Province located in Quebec, Canada."
516,Tempus Capital Inc.,TEMP,Diversified Industries,,,CAD,27-Feb-19,https://thecse.com/en/listings/diversified-industries/tempus-capital-inc,"
	The business of Tempus is the ownership and operation of commercial and mixed-use real property."
517,Terra Nova Resources Inc.,TENO,Oil and Gas,,,CAD,27-Sep-18,https://thecse.com/en/listings/oil-and-gas/terra-nova-resources-inc,"
	Terra Nova Resources Inc. is an oil and gas company that has a 51.49% working interest in two onshore petroleum exploration licenses (""PELs""), being PEL 112 and PEL 444, including a 1.47% gross overriding royalty interest on the PELs, located on the western flank of the Cooper Eromanga Basin in the State of South Australia, Australia."
